palavras,tamanho_frase,verbos_irregulares,vocabulario_basico,out_iniciante,out_intermediario,out_avancado
475,19.0,35,313,0,1,0
677,19.91176470588235,57,378,0,1,0
241,17.214285714285715,12,119,0,1,0
309,19.3125,7,152,0,1,0
363,15.782608695652174,8,144,0,1,0
295,16.38888888888889,13,163,0,1,0
725,21.323529411764707,28,326,0,1,0
303,15.15,15,161,0,1,0
221,14.733333333333333,8,98,0,1,0
1015,22.065217391304348,31,450,0,1,0
676,13.52,54,364,0,1,0
434,22.842105263157894,13,207,0,1,0
835,16.057692307692307,40,350,0,1,0
325,16.25,22,174,0,1,0
288,19.2,9,127,0,1,0
779,17.704545454545453,59,429,0,1,0
315,15.0,12,156,0,1,0
304,17.88235294117647,19,153,0,1,0
513,17.1,22,282,0,1,0
383,15.958333333333334,12,160,0,1,0
272,14.31578947368421,13,133,0,1,0
293,14.65,23,152,0,1,0
284,18.933333333333334,9,146,0,1,0
327,10.548387096774194,23,177,0,1,0
229,17.615384615384617,16,146,0,1,0
646,20.838709677419356,42,368,0,1,0
743,23.21875,35,319,0,1,0
440,16.923076923076923,27,201,0,1,0
328,19.294117647058822,15,158,0,1,0
305,13.26086956521739,15,138,0,1,0
311,17.27777777777778,11,149,0,1,0
312,13.565217391304348,26,156,0,1,0
233,14.5625,7,123,0,1,0
310,20.666666666666668,8,151,0,1,0
305,16.05263157894737,14,156,0,1,0
375,18.75,22,182,0,1,0
707,16.833333333333332,38,344,0,1,0
273,16.058823529411764,10,130,0,1,0
949,21.568181818181817,65,541,0,1,0
994,21.148936170212767,68,552,0,1,0
578,16.055555555555557,46,307,0,1,0
287,13.666666666666666,3,128,0,1,0
400,17.391304347826086,27,182,0,1,0
524,23.818181818181817,21,220,0,1,0
469,22.333333333333332,21,221,0,1,0
224,22.4,12,116,0,1,0
302,15.894736842105264,14,145,0,1,0
306,19.125,4,151,0,1,0
822,20.55,39,427,0,1,0
1748,21.06024096385542,55,666,0,1,0
282,25.636363636363637,14,127,0,1,0
304,16.0,16,139,0,1,0
407,20.35,23,187,0,1,0
308,14.666666666666666,15,135,0,1,0
304,16.88888888888889,8,151,0,1,0
299,14.95,16,146,0,1,0
201,16.75,6,84,0,1,0
635,13.51063829787234,31,291,0,1,0
304,13.217391304347826,14,155,0,1,0
317,15.85,13,145,0,1,0
291,16.166666666666668,6,143,0,1,0
998,23.209302325581394,64,564,0,1,0
304,16.0,24,164,0,1,0
369,19.42105263157895,19,203,0,1,0
309,18.176470588235293,7,158,0,1,0
469,16.17241379310345,32,259,0,1,0
317,21.133333333333333,17,153,0,1,0
316,16.63157894736842,16,166,0,1,0
259,21.583333333333332,17,117,0,1,0
1177,16.814285714285713,50,602,0,1,0
185,18.5,7,76,0,1,0
266,15.647058823529411,18,130,0,1,0
632,21.066666666666666,35,364,0,1,0
563,21.653846153846153,30,290,0,1,0
693,21.0,39,297,0,1,0
315,17.5,15,142,0,1,0
303,15.15,14,138,0,1,0
324,14.727272727272727,9,150,0,1,0
252,15.75,12,132,0,1,0
579,20.678571428571427,40,270,0,1,0
928,23.2,43,424,0,1,0
240,15.0,10,107,0,1,0
158,13.166666666666666,11,70,0,1,0
428,30.571428571428573,23,231,0,1,0
310,19.375,10,162,0,1,0
241,15.0625,10,117,0,1,0
348,18.31578947368421,18,180,0,1,0
303,14.428571428571429,28,148,0,1,0
234,23.4,6,96,0,1,0
523,18.678571428571427,34,243,0,1,0
247,17.642857142857142,12,104,0,1,0
307,15.35,9,160,0,1,0
502,13.944444444444445,35,298,0,1,0
816,17.73913043478261,46,396,0,1,0
478,17.703703703703702,27,240,0,1,0
671,24.85185185185185,22,339,0,1,0
1444,17.19047619047619,88,735,0,1,0
805,20.125,27,427,0,1,0
306,21.857142857142858,27,138,0,1,0
597,18.65625,25,226,0,1,0
792,18.857142857142858,61,420,0,1,0
772,20.31578947368421,34,345,0,1,0
98,16.333333333333332,4,42,0,1,0
304,19.0,21,155,0,1,0
638,20.580645161290324,41,332,0,1,0
665,23.75,37,367,0,1,0
953,17.64814814814815,61,489,0,1,0
294,16.333333333333332,13,145,0,1,0
398,24.875,15,181,0,1,0
758,22.294117647058822,39,402,0,1,0
1040,15.072463768115941,68,591,0,1,0
282,16.58823529411765,8,131,0,1,0
335,17.63157894736842,12,170,0,1,0
760,19.0,54,362,0,1,0
1355,17.5974025974026,74,626,0,1,0
267,9.88888888888889,26,177,0,1,0
455,21.666666666666668,27,257,0,1,0
937,17.67924528301887,50,435,0,1,0
603,20.79310344827586,26,278,0,1,0
637,21.96551724137931,35,304,0,1,0
554,18.466666666666665,32,308,0,1,0
300,17.647058823529413,10,160,0,1,0
286,17.875,6,140,0,1,0
612,18.545454545454547,44,250,0,1,0
885,21.071428571428573,38,456,0,1,0
236,21.454545454545453,11,102,0,1,0
